A,B,M1A,M1B,M2A,M2B,M3A,M3B,M4A,M4B,M5A,M5B,FSA,FSB
PHI,NYE,0,2,1,2,2,3,1,3,0,0,0,4
BOS,ATL,1,2,1,2,3,2,4,3,2,0,3,2
SHD,GLA,2,0,1,2,3,4,0,1,0,0,1,3
GZC,PAR,0,2,0,2,2,3,2,3,0,0,0,4
LDN,FLA,2,0,2,3,3,3,1,0,0,0,2,1
WAS,TOR,0,2,0,1,2,3,3,2,0,0,1,3
VAL,SFS,0,2,2,3,1,2,0,1,0,0,0,4
GLA,SEO,0,2,2,1,3,2,3,4,2,0,3,2
FLA,PHI,2,0,2,3,3,4,4,5,0,0,1,3
TOR,BOS,2,0,4,3,1,3,0,1,1,2,2,3
NYE,SHD,2,1,1,1,3,2,1,0,0,0,3,0
CDH,PAR,2,1,4,3,4,3,2,1,0,0,4,0
SFS,GZC,2,0,4,3,3,2,3,0,0,0,4,0
ATL,LDN,0,2,1,2,3,4,3,4,0,0,0,4
VAN,HZS,2,0,3,2,4,3,3,2,0,0,4,0
WAS,CDH,0,2,1,0,0,1,3,4,0,0,1,3
PAR,FLA,2,0,4,3,3,2,1,2,0,0,3,1
NYE,WAS,2,0,3,2,3,1,3,2,0,0,3,0
VAN,SEO,2,0,3,3,3,1,2,3,0,0,2,1
TOR,PHI,0,2,4,3,2,3,2,3,0,0,1,3
VAL,ATL,2,0,2,3,0,1,3,2,2,1,3,2
BOS,HZS,1,2,3,2,4,3,0,1,1,2,2,3
GZC,SFS,0,2,2,3,0,3,0,3,0,0,0,4
CDH,SHD,0,2,1,0,2,3,2,3,0,0,1,3
LDN,PHI,2,1,2,2,3,4,3,2,0,0,2,1
VAN,HOU,0,2,1,0,2,1,1,0,0,0,3,1
DAL,TOR,2,0,5,4,3,0,3,2,0,0,4,0
GLA,GZC,2,1,3,2,3,2,3,1,0,0,4,0
DAL,PAR,2,0,2,2,4,3,1,2,0,0,2,1
ATL,WAS,2,0,0,1,2,1,4,3,0,0,3,1
NYE,FLA,2,0,2,1,3,2,3,2,0,0,4,0
VAL,GLA,0,2,1,1,1,2,1,0,0,0,1,2
NYE,PHI,2,0,3,2,2,3,1,0,0,0,3,1
SFS,TOR,2,0,2,1,2,1,3,0,0,0,4,0
FLA,GLA,2,0,1,2,2,3,2,3,0,0,1,3
VAN,DAL,2,0,2,1,4,3,3,2,0,0,4,0
NYE,ATL,0,2,2,3,3,4,4,3,0,0,1,3
PHI,HOU,2,1,3,2,2,0,3,0,0,0,4,0
VAL,WAS,2,0,3,4,3,2,3,0,0,0,3,1
HZS,GZC,0,2,2,0,1,2,2,1,2,0,3,2
LDN,BOS,2,0,3,2,6,5,2,0,0,0,4,0
SHD,FLA,2,1,3,4,3,1,3,0,0,0,3,1
DAL,SEO,0,2,2,3,1,2,4,5,0,0,0,4
GLA,CDH,2,0,1,2,2,1,1,0,0,0,3,1
VAN,BOS,2,0,3,2,3,2,5,3,0,0,4,0
HOU,SHD,0,2,0,0,0,1,2,3,0,0,0,3
HZS,SFS,1,2,4,5,0,3,1,3,0,0,0,4
ATL,GZC,0,2,7,6,7,8,0,3,0,0,1,3
PAR,LDN,0,2,1,2,4,5,1,3,0,0,0,4
HZS,CDH,2,1,3,2,1,2,5,4,0,0,3,1
HOU,SEO,1,2,3,4,0,3,3,4,0,0,0,4
VAL,DAL,0,2,1,2,1,2,4,5,0,0,0,4
HZS,PAR,2,1,2,3,5,6,3,2,2,0,3,2
CDH,LDN,2,1,4,5,3,0,2,1,0,0,3,1
SEO,VAL,2,0,2,3,6,3,2,3,2,1,3,2
HOU,DAL,0,2,2,1,2,3,3,4,0,0,1,3
DAL,FLA,2,1,5,6,3,2,3,0,0,0,3,1
PHI,SFS,1,2,1,2,1,3,0,3,0,0,0,4
GZC,HOU,2,1,2,0,1,2,2,3,2,0,3,2
BOS,GLA,2,1,2,1,2,3,3,2,0,0,3,1
TOR,VAN,0,2,2,0,1,2,2,3,0,0,1,3
SHD,WAS,2,0,2,1,0,1,2,1,0,0,3,1
LDN,HOU,2,0,2,0,3,2,2,0,0,0,4,0
ATL,NYE,2,1,3,4,2,1,2,3,2,0,3,2
SEO,VAN,1,2,1,2,3,4,1,3,0,0,0,4
CDH,VAL,0,2,2,1,2,3,2,0,0,2,2,3
TOR,PAR,2,1,2,1,3,2,6,5,0,0,4,0
WAS,BOS,0,2,0,2,2,1,4,3,2,1,3,2
SHD,SFS,1,2,4,5,4,5,4,5,0,0,0,4
SEO,HZS,2,0,3,4,4,5,3,4,0,0,1,3